"submitted_name_rl","scientificname","rl1998","rl2018","trend","L","T","C","M","R","N"
"Minuartia stricta (Sw.) Hiern","Minuartia stricta (Sw.) Hiern","0","1","<<<",9,4,7,9,2,1
"Minuartia gerardi (Willd.) Hayek","Minuartia gerardii (Willd.) Hayek","*","*","=",9,2,7,5,7,2
"Minuartia caespitosa (Willd.) Degen","Minuartia caespitosa (Ehrh. ex Willd.) Degen","3","3","<",8,5,NA,3,7,2
"Minuartia verna (L.) Hiern","Minuartia verna (L.) Hiern","*","3","=",NA,NA,NA,NA,NA,NA
"Minuartia verna subsp. verna","Minuartia verna subsp. verna","*","3","=",NA,NA,NA,NA,NA,NA
"Minuartia viscosa (Schreb.) Schinz & Thell.","Minuartia viscosa (Schreb.) Schinz & Thell.","1","1","<<<",9,7,NA,2,4,2
"Misopates orontium (L.) Raf.","Misopates orontium (L.) Raf.","3","3","<<",8,7,NA,4,6,5
"Moehringia ciliata (Scop.) Dalla Torre","Moehringia ciliata (Scop.) Dalla Torre","*","*","=",9,2,4,5,7,2
"Moehringia muscosa L.","Moehringia muscosa L.","*","*","=",5,3,NA,7,9,2
"Moehringia trinervia (L.) Clairv.","Moehringia trinervia (L.) Clairv.","*","*","=",4,5,3,5,6,7
"Moenchia erecta (L.) G. Gaertn. et al.","Moenchia erecta (L.) G.Gaertn., G.Mey. & Scherb.","2","1","<<",9,7,2,2,4,1
"Moenchia erecta subsp. erecta","Moenchia erecta subsp. erecta","2","1","<<",NA,NA,NA,NA,NA,NA
"Molinia arundinacea Schrank","Molinia arundinacea Schrank","*","*","=",6,6,NA,6,5,3
"Molinia caerulea (L.) Moench","Molinia caerulea (L.) Moench","*","*","=",6,5,NA,7,5,3
"Moneses uniflora (L.) A. Gray","Moneses uniflora (L.) A.Gray","V","2","<<",4,4,5,5,4,2
"Montia arvensis Wallr.","Montia arvensis Wallr.","3","3","<",8,4,NA,7,4,3
"Montia fontana L.","Montia fontana L.","*","V","<",8,4,NA,9,4,3
"Montia fontana subsp. amporitana Sennen","Montia fontana subsp. amporitana Sennen","V","D","?",8,4,NA,9,4,3
"Montia fontana subsp. fontana","Montia fontana subsp. fontana","V","D","?",8,4,NA,9,4,4
"Muscari armeniacum Baker","Muscari armeniacum Leichtlin ex Baker","kN","*",">",7,6,NA,5,7,7
"Muscari botryoides (L.) Mill.","Muscari botryoides (L.) Mill.","3","3","<",NA,NA,NA,NA,NA,NA
"Muscari comosum (L.) Mill.","Muscari comosum (L.) Mill.","3","3","<",7,8,3,3,7,4
"Muscari neglectum Ten.","Muscari neglectum Ten.","3","3","<",7,8,7,3,7,5
"Muscari tenuiflorum Tausch","Muscari tenuiflorum Tausch","3","3","<",7,8,6,3,8,3
"Myagrum perfoliatum L.","Myagrum perfoliatum L.","1","nb",NA,6,7,NA,4,9,4
"Mycelis muralis (L.) Dumort.","Mycelis muralis (L.) Dumort.","*","*","=",4,5,NA,5,6,6
"Myosotis arvensis (L.) Hill","Myosotis arvensis (L.) Hill","*","*","=",7,6,NA,5,5,6
"Myosotis arvensis subsp. arvensis","Myosotis arvensis var. arvensis","*","*","=",7,6,NA,5,5,6
"Myosotis arvensis subsp. umbrata (Rouy) O. Schwarz","Myosotis arvensis subsp. umbrata (Rouy) O.Schwarz","nb","D","?",NA,NA,NA,NA,NA,NA
"Myosotis discolor Pers.","Myosotis discolor Pers.","3","V","<",8,7,NA,4,4,3
"Myosotis discolor subsp. discolor","Myosotis discolor subsp. discolor","3","V","<",8,7,NA,4,4,4
"Myosotis ramosissima Rochel","Myosotis ramosissima Rochel","*","*","<",9,6,NA,2,6,2
"Myosotis ramosissima subsp. ramosissima","Myosotis ramosissima subsp. ramosissima","*","*","<",9,6,NA,3,6,3
"Myosotis laxa Lehm.","Myosotis laxa Lehm.","*","*","<",NA,NA,NA,NA,NA,NA
"Myosotis nemorosa Besser","Myosotis nemorosa Besser","*","*","=",7,5,NA,8,5,6
"Myosotis praecox Hülph.","Myosotis praecox Hülph.","*","*","=",NA,NA,NA,NA,NA,NA
"Myosotis rehsteineri (Hausm.) Reut.","Myosotis rehsteineri (Hausm.) Wartm. ex Reut.","1","1","<",NA,NA,NA,NA,NA,NA
"Myosotis scorpioides L.","Myosotis scorpioides L.","*","*","=",NA,NA,NA,NA,NA,NA
"Myosotis sparsiflora Pohl","Myosotis sparsiflora Pohl","*","3","<",5,6,6,6,7,7
"Myosotis stricta Roem. & Schult.","Myosotis stricta Link ex Roem. & Schult.","*","*","<",8,6,NA,3,6,2
"Myosotis alpestris F.W. Schmidt","Myosotis alpestris F.W.Schmidt","*","*","=",NA,NA,NA,NA,NA,NA
"Myosotis alpestris subsp. alpestris","Myosotis alpestris subsp. alpestris","*","*","=",NA,NA,NA,NA,NA,NA
"Myosotis decumbens Host","Myosotis decumbens Host","*","R","=",8,3,2,6,5,7
"Myosotis decumbens subsp. decumbens","Myosotis decumbens subsp. decumbens","*","R","=",NA,NA,NA,NA,NA,NA
"Myosotis sylvatica Hoffm.","Myosotis sylvatica Ehrh. ex Hoffm.","*","*","=",6,5,NA,5,6,7
"Myosotis sylvatica subsp. sylvatica","Myosotis sylvatica subsp. sylvatica","*","*","=",NA,NA,NA,NA,NA,NA
"Myosurus minimus L.","Myosurus minimus L.","V","*","<",8,7,5,7,6,5
"Myrica gale L.","Myrica gale L.","3","3","<<",8,6,2,9,3,3
"Myrica pensylvanica Mirb.","Myrica pensylvanica Mirb.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Myricaria germanica (L.) Desv.","Myricaria germanica (L.) Desv.","1","1","<<",8,4,7,8,8,3
"Myriophyllum alterniflorum DC.","Myriophyllum alterniflorum DC.","2","2","<<",7,5,NA,12,6,5
"Myriophyllum heterophyllum Michx.","Myriophyllum heterophyllum Michx.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Myriophyllum spicatum L.","Myriophyllum spicatum L.","*","*","=",5,6,NA,12,8,7
"Myriophyllum verticillatum L.","Myriophyllum verticillatum L.","*","*","<",5,6,NA,12,7,7
"Myrrhis odorata (L.) Scop.","Myrrhis odorata (L.) Scop.","*","R","=",7,6,2,5,7,7
"Najas flexilis (Willd.) Rostk. & W.L.E. Schmidt","Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt","1","0",NA,NA,NA,NA,NA,NA,NA
"Najas marina L.","Najas marina L.","3","*","<",5,7,NA,12,9,6
"Najas marina subsp. intermedia (Gorski) Casper","Najas marina subsp. intermedia (Wolfg. ex Gorski) Casper","2","D","?",NA,NA,NA,NA,NA,NA
"Najas marina subsp. marina","Najas marina subsp. marina","3","D","?",NA,NA,NA,NA,NA,NA
"Najas minor All.","Najas minor All.","2","3","<",6,7,NA,12,8,5
"Narcissus poeticus L.","Narcissus poeticus L.","*","*",">",NA,NA,NA,NA,NA,NA
"Narcissus radiiflorus Salisb.","Narcissus radiiflorus Salisb.","2","1","<<",8,3,4,5,6,5
"Narcissus pseudonarcissus L.","Narcissus pseudonarcissus L.","3","3","<",8,4,2,6,4,4
"Narcissus pseudonarcissus subsp. pseudonarcissus","Narcissus pseudonarcissus subsp. pseudonarcissus","3","3","<",NA,NA,NA,NA,NA,NA
"Nardus stricta L.","Nardus stricta L.","V","V","<<",8,4,NA,6,2,2
"Narthecium ossifragum (L.) Huds.","Narthecium ossifragum (L.) Huds.","3","3","<",8,4,1,9,2,1
"Nasturtium microphyllum (Boenn.) Rchb.","Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.","*","*","<",7,6,NA,10,6,7
"Nasturtium officinale W.T. Aiton","Nasturtium officinale W.T.Aiton","*","*","<",NA,NA,NA,NA,NA,NA
"Nasturtium sterile (Airy Shaw) Oefelein","Nasturtium ×sterile (Airy Shaw) Oefelein","*","*","<",NA,NA,NA,NA,NA,NA
"Neottia nidus-avis (L.) Rich.","Neottia nidus-avis (L.) Rich.","*","*","=",2,5,3,5,7,5
"Nepeta cataria L.","Nepeta cataria L.","3","3","<<",8,7,3,4,7,7
"Nepeta grandiflora M. Bieb.","Nepeta grandiflora M.Bieb.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Nepeta nuda L.","Nepeta nuda L.","*","2","<",7,7,NA,4,8,4
"Nepeta nuda subsp. nuda","Nepeta nuda subsp. nuda","*","2","<",7,7,NA,4,8,4
"Neslia paniculata (L.) Desv.","Neslia paniculata (L.) Desv.","3","3","<<",6,6,5,4,8,4
"Nicandra physalodes (L.) Gaertn.","Nicandra physalodes (L.) Gaertn.","kN","nb",NA,8,7,NA,4,7,7
"Nigella arvensis L.","Nigella arvensis L.","2","1","<<",8,7,NA,3,8,3
"Nigella arvensis subsp. arvensis","Nigella arvensis subsp. arvensis","2","1","<<",NA,NA,NA,NA,NA,NA
"Nigritella dolomitensis (Teppner & E. Klein) Hedrén et al.","Nigritella dolomitensis (Teppner & E.Klein) Hedrén, E.Klein & Teppner","kN","R","?",NA,NA,NA,NA,NA,NA
"Nigritella miniata (Crantz) Janch.","Nigritella miniata (Crantz) Janch.","2","2","<",NA,NA,NA,NA,NA,NA
"Nigritella nigra (L.) Rchb. f.","Nigritella nigra (L.) Rchb.f.","*","R","?",NA,NA,NA,NA,NA,NA
"Nigritella nigra subsp. austriaca Teppner & E. Klein","Nigritella nigra subsp. austriaca Teppner & E.Klein","nb","R","?",NA,NA,NA,NA,NA,NA
"Nigritella rhellicani Teppner & E. Klein","Nigritella rhellicani Teppner & E.Klein","nb","*","=",NA,NA,NA,NA,NA,NA
"Nigritella widderi Teppner & E. Klein","Nigritella widderi Teppner & E.Klein","nb","2","<",NA,NA,NA,NA,NA,NA
"Noccaea caerulescens (J. Presl & C. Presl) F.K. Mey.","Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.","*","V","<",7,6,NA,5,5,4
"Noccaea caerulescens subsp. caerulescens","Noccaea caerulescens subsp. caerulescens","*","V","<",7,6,NA,5,5,4
"Noccaea caerulescens subsp. sylvestris (Jord.) F.K. Mey.","Noccaea caerulescens subsp. sylvestris (Jord.) F.K.Mey.","2","2","<",NA,NA,NA,NA,NA,NA
"Noccaea montana (L.) F.K. Mey.","Noccaea montana (L.) F.K.Mey.","*","3","<",6,5,NA,4,8,3
"Noccaea rotundifolia (L.) Moench","Noccaea rotundifolia (L.) Moench","*","*","=",NA,NA,NA,NA,NA,NA
"Noccaea rotundifolia subsp. rotundifolia","Noccaea rotundifolia (L.) Moench","*","*","=",NA,NA,NA,NA,NA,NA
"Nonea erecta Bernh.","Nonea erecta Bernh.","*","3","<",NA,NA,NA,NA,NA,NA
"Nonea versicolor (Steven) Sweet","Nonea versicolor (Stev.) Sweet","*","nb",NA,NA,NA,NA,NA,NA,NA
"Nuphar lutea (L.) Sm.","Nuphar lutea (L.) Sibth. & Sm.","*","*","=",8,6,NA,11,7,7
"Nuphar pumila (Timm) DC.","Nuphar pumila (Timm) DC.","1","1","<<",8,4,NA,11,4,4
"Nuphar spenneriana Gaudin","Nuphar ×spenneriana Gaudin","kN","R","?",NA,NA,NA,NA,NA,NA
"Nymphaea alba L.","Nymphaea alba L.","*","*","<",8,7,NA,11,7,6
"Nymphaea alba subsp. alba","Nymphaea alba subsp. alba","*","*","<",NA,NA,NA,NA,NA,NA
"Nymphaea candida J. Presl & C. Presl","Nymphaea candida C.Presl","2","2","<<",8,6,NA,11,5,4
"Nymphoides peltata (S.G. Gmel.) Kuntze","Nymphoides peltata (S.G.Gmel.) Kuntze","3","3","<",8,7,NA,11,8,7
"Odontites luteus (L.) Clairv.","Odontites luteus (L.) Clairv.","3","3","<",8,7,NA,3,8,2
"Odontites litoralis (Fr.) Fr.","Odontites litoralis (Fr.) Fr.","*","2","<",8,6,NA,7,7,4
"Odontites litoralis subsp. litoralis","Odontites litoralis (Fr.) Fr.","*","2","<",8,6,NA,7,7,4
"Odontites vernus (Bellardi) Dumort.","Odontites vernus (Bellardi) Dumort.","V","3","<<",6,6,NA,6,6,5
"Odontites vulgaris Moench","Odontites vulgaris Moench","*","*","=",NA,NA,NA,NA,NA,NA
"Oenanthe aquatica (L.) Poir.","Oenanthe aquatica (L.) Poir.","*","*","<",7,6,5,1,7,6
"Oenanthe conioides Lange","Oenanthe conioides Lange","1","1","<<",7,6,3,1,7,8
"Oenanthe fluviatilis (Bab.) Coleman","Oenanthe fluviatilis (Bab.) Coleman","0","0",NA,NA,NA,NA,NA,NA,NA
"Oenanthe crocata L.","Oenanthe crocata L.","kN","R","?",NA,NA,NA,NA,NA,NA
"Oenanthe fistulosa L.","Oenanthe fistulosa L.","3","3","<<",7,7,2,9,8,5
"Oenanthe lachenalii C.C. Gmel.","Oenanthe lachenalii C.C.Gmel.","2","3","<",8,7,2,8,8,7
"Oenanthe peucedanifolia Pollich","Oenanthe peucedanifolia Pollich","2","2","<",NA,NA,NA,NA,NA,NA
"Oenanthe silaifolia M. Bieb.","Oenanthe silaifolia M.Bieb.","0","0",NA,8,6,NA,8,7,6
"Oenothera biennis-Gruppe","Oenothera biennis L.","nb","nb",NA,9,7,NA,4,6,4
"Oenothera acutifolia Rostański","Oenothera acutifolia Rostanski","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera biennis L.","Oenothera biennis L.","*","nb",NA,9,7,NA,4,6,4
"Oenothera jueterbogensis Hudziok","Oenothera jueterbogensis Hudziok","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera macrosperma Hudziok","Oenothera macrosperma (Hudziok) Hudziok","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera pycnocarpa G.F. Atk. & Bartlett","Oenothera pycnocarpa Atk. & Bartlett","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera royfraseri R.R. Gates","Oenothera royfraseri R.R.Gates","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera rubricaulis Kleb.","Oenothera rubricaulis Kleb.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera suaveolens Pers.","Oenothera suaveolens Desf. ex Pers.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera victorinii R.R. Gates & Catches.","Oenothera victorinii R.R.Gates & Catches.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera braunii-Gruppe","Oenothera braunii Döll","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera albipercurva Hudziok","Oenothera albipercurva Renner ex Hudziok","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera issleri Rostański","Oenothera issleri Renner ex Rostanski","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera drawertii-Gruppe","Oenothera drawertii Renner ex Rostanski","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera hoelscheri Rostański","Oenothera hoelscheri Renner ex Rostanski","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera glazioviana-Gruppe","Oenothera glazioviana Micheli","*","nb",NA,9,7,NA,3,7,4
"Oenothera coronifera Renner","Oenothera coronifera Renner","*","D","?",NA,NA,NA,NA,NA,NA
"Oenothera glazioviana Micheli","Oenothera glazioviana Micheli","*","nb",NA,9,7,NA,3,7,4
"Oenothera laeta-Gruppe","Oenothera elata Kunth","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera fallax Renner","Oenothera fallax Renner","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera oakesiana-Gruppe","Oenothera oakesiana (A.Gray) S.Watson","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera ammophila Focke","Oenothera ammophila Focke","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera oakesiana (A. Gray) S. Watson & J.M. Coult.","Oenothera oakesiana (A.Gray) S.Watson","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera parviflora-Gruppe","Oenothera parviflora L.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera angustissima R.R. Gates","Oenothera angustissima R.R.Gates","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera deflexa R.R. Gates","Oenothera deflexa R.R.Gates","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera parviflora L.","Oenothera parviflora L.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera subterminalis R.R. Gates","Oenothera subterminalis R.R.Gates","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera villosa-Gruppe","Oenothera villosa Thunb.","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera canovirens E.S. Steele","Oenothera canovirens Steele","*","nb",NA,NA,NA,NA,NA,NA,NA
"Oenothera depressa Greene","Oenothera depressa Greene","*","nb",NA,NA,NA,NA,NA,NA,NA
"Omphalodes scorpioides (Haenke) Schrank","Omphalodes scorpioides (Haenke) Schrank","*","2","<",3,6,4,6,8,7
"Omphalodes verna Moench","Omphalodes verna Moench","kN","nb",NA,4,6,4,5,7,6
"Onobrychis arenaria (Kit.) DC.","Onobrychis arenaria (Kit.) DC.","3","3","<",8,7,NA,3,8,3
"Onobrychis arenaria subsp. arenaria","Onobrychis arenaria subsp. arenaria","3","3","<",8,7,NA,3,8,3
"Onobrychis montana DC.","Onobrychis montana DC.","3","2","<",NA,NA,NA,NA,NA,NA
"Onobrychis montana subsp. montana","Onobrychis montana subsp. montana","3","2","<",NA,NA,NA,NA,NA,NA
"Onobrychis viciifolia Scop.","Onobrychis viciifolia Scop.","*","nb",NA,8,7,6,3,8,3
"Ononis natrix L.","Ononis natrix L.","0","0",NA,8,8,3,3,8,1
"Ononis natrix subsp. natrix","Ononis natrix subsp. natrix","0","0",NA,NA,NA,NA,NA,NA,NA
"Ononis foetens All.","Ononis foetens All.","*","1","<",NA,NA,NA,NA,NA,NA
"Ononis repens L.","Ononis repens L.","*","*","<",8,5,2,4,7,2
"Ononis repens subsp. procurrens (Wallr.) Bonnier & Layens","Ononis repens subsp. procurrens (Wallr.) Bonnier & Layens","*","*","<",NA,NA,NA,NA,NA,NA
"Ononis spinosa L.","Ononis spinosa L.","*","*","<",8,6,NA,4,7,3
"Ononis spinosa subsp. spinosa","Ononis spinosa subsp. spinosa","*","*","<",8,6,NA,4,7,3
"Onopordum acanthium L.","Onopordum acanthium L.","*","*","=",9,7,6,4,7,8
"Onopordum acanthium subsp. acanthium","Onopordum acanthium subsp. acanthium","*","*","=",NA,NA,NA,NA,NA,NA
"Onosma arenaria Waldst. & Kit.","Onosma arenarium Waldst. & Kit.","1","1","<",8,8,NA,3,8,2
"Ophioglossum vulgatum L.","Ophioglossum vulgatum L.","3","3","<<",7,6,3,7,7,2
"Ophrys apifera Huds.","Ophrys apifera Huds.","2","*","<",7,6,NA,4,8,3
"Ophrys holoserica (Burm. f.) Greuter","Ophrys holoserica (Burm.f.) Greuter","2","3","<",8,7,NA,4,8,3
"Ophrys holoserica subsp. elatior (R. Engel & Quentin) H. Baumann & Künkele","Ophrys holoserica subsp. elatior (Paulus) H.Baumann & Künkele","nb","R","?",NA,NA,NA,NA,NA,NA
"Ophrys holoserica subsp. holoserica","Ophrys holoserica subsp. holoserica","2","3","<",NA,NA,NA,NA,NA,NA
"Ophrys insectifera L.","Ophrys insectifera L.","3","3","<<",7,5,NA,4,8,3
"Ophrys araneola Rchb.","Ophrys araneola Rchb.","2","2","<",NA,NA,NA,NA,NA,NA
"Ophrys sphegodes Mill.","Ophrys sphegodes Mill.","2","2","<<",NA,NA,NA,NA,NA,NA
"Ophrys sphegodes subsp. sphegodes","Ophrys sphegodes subsp. sphegodes","2","2","<<",NA,NA,NA,NA,NA,NA
"Orchis anthropophora (L.) All.","Orchis anthropophora (L.) All.","3","3","<",NA,NA,NA,NA,NA,NA
"Orchis coriophora L.","Orchis coriophora L.","1","1","<<<",8,7,4,7,4,2
"Orchis coriophora subsp. coriophora","Orchis coriophora subsp. coriophora","1","1","<<<",8,7,NA,7,7,2
"Orchis mascula (L.) L.","Orchis mascula (L.) L.","*","V","<",6,6,3,4,8,3
"Orchis mascula subsp. mascula","Orchis mascula subsp. mascula","*","V","<",6,6,NA,4,7,3
"Orchis mascula subsp. speciosa (W.D.J. Koch) Hegi","Orchis mascula subsp. speciosa (Mutel) Hegi","nb","*","?",6,6,NA,4,7,3
"Orchis militaris L.","Orchis militaris L.","3","3","<<",7,7,NA,4,8,2
"Orchis morio L.","Orchis morio L.","2","2","<<<",7,5,3,4,7,3
"Orchis morio subsp. morio","Orchis morio subsp. morio","2","2","<<<",8,5,NA,4,6,3
"Orchis pallens L.","Orchis pallens L.","3","3","<",4,5,4,5,8,4
"Orchis palustris Jacq.","Orchis palustris Jacq.","2","1","<<<",8,6,NA,9,8,2
"Orchis palustris subsp. elegans (Heuff.) Nyár.","Orchis palustris subsp. elegans (Heuff.) Soó","nb","0",NA,NA,NA,NA,NA,NA,NA
"Orchis palustris subsp. palustris","Orchis palustris subsp. palustris","2","1","<<<",NA,NA,NA,NA,NA,NA
"Orchis purpurea Huds.","Orchis purpurea Huds.","3","V","<",5,7,4,4,8,3
"Orchis pyramidalis L.","Orchis pyramidalis L.","2","3","<<",NA,NA,NA,NA,NA,NA
"Orchis simia Lam.","Orchis simia Lam.","2","2","<",8,8,2,3,8,2
"Orchis spitzelii Saut.","Orchis spitzelii Saut.","0","0",NA,NA,NA,NA,NA,NA,NA
"Orchis tridentata Scop.","Orchis tridentata Scop.","3","3","<",8,7,NA,3,8,3
"Orchis ustulata L.","Orchis ustulata L.","2","2","<<",7,5,NA,4,7,3
"Oreochloa disticha (Wulfen) Link","Oreochloa disticha (Wulfen) Link","R","R","=",9,1,4,5,1,1
"Oreochloa disticha subsp. disticha","Oreochloa disticha subsp. disticha","R","R","=",NA,NA,NA,NA,NA,NA
"Origanum vulgare L.","Origanum vulgare L.","*","*","=",7,6,3,3,8,3
"Origanum vulgare subsp. vulgare","Origanum vulgare subsp. vulgare","*","*","=",7,6,NA,3,7,3
"Orlaya grandiflora (L.) Hoffm.","Orlaya grandiflora (L.) Hoffm.","1","1","<<<",8,7,NA,3,9,4
"Ornithogalum boucheanum (Kunth) Asch.","Ornithogalum boucheanum (Kunth) Asch.","*","nb",NA,6,7,NA,4,6,7
"Ornithogalum nutans L.","Ornithogalum nutans L.","*","nb",NA,6,7,NA,4,7,7
"Ornithogalum pyrenaicum L.","Ornithogalum pyrenaicum L.","3","3","<",4,6,2,5,6,5
"Ornithogalum pyrenaicum subsp. pyrenaicum","Ornithogalum pyrenaicum subsp. pyrenaicum","3","3","<",NA,NA,NA,NA,NA,NA
"Ornithogalum angustifolium Boreau","Ornithogalum angustifolium Boreau","2","D","?",NA,NA,NA,NA,NA,NA
"Ornithogalum umbellatum L.","Ornithogalum umbellatum L.","*","*","=",6,6,4,5,7,7
"Ornithopus perpusillus L.","Ornithopus perpusillus L.","*","*","<",7,6,2,3,2,2
"Ornithopus sativus Brot.","Ornithopus sativus Brot.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Ornithopus sativus subsp. sativus","Ornithopus sativus subsp. sativus","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Orobanche alba Willd.","Orobanche alba Steph. ex Willd.","3","2","<<",8,7,NA,3,8,3
"Orobanche alsatica Kirschl.","Orobanche alsatica Kirschl.","2","2","<",7,6,NA,3,8,2
"Orobanche bartlingii Griseb.","Orobanche bartlingii Griseb.","3","2","<",NA,NA,NA,NA,NA,NA
"Orobanche mayeri (Suess. & Ronniger) Bertsch & F. Bertsch","Orobanche mayeri (Suess. & Ronniger) Bertsch","R","1","<",NA,NA,NA,NA,NA,NA
"Orobanche amethystea Thuill.","Orobanche amethystea Thuill.","1","2","<",8,8,2,1,8,1
"Orobanche amethystea subsp. amethystea","Orobanche amethystea Thuill.","1","2","<",8,8,2,1,8,1
"Orobanche arenaria Borkh.","Orobanche arenaria Borkh.","2","2","<<",NA,NA,NA,NA,NA,NA
"Orobanche artemisiae-campestris Gaudin","Orobanche artemisiae-campestris Gaudin","2","2","<",8,8,NA,2,8,2
"Orobanche bohemica Čelak.","Orobanche bohemica Celak.","nb","1","<",NA,NA,NA,NA,NA,NA
"Orobanche caryophyllacea Sm.","Orobanche caryophyllacea Sm.","3","3","<",8,6,NA,3,8,3
"Orobanche coerulescens Willd.","Orobanche coerulescens Stephan","2","1","<<",9,7,7,2,8,1
"Orobanche elatior Sutton","Orobanche elatior Sutton","3","3","<",8,7,NA,4,8,3
"Orobanche flava F.W. Schultz","Orobanche flava Mart. ex F.W.Schultz","3","3","=",5,4,NA,7,7,6
"Orobanche gracilis Sm.","Orobanche gracilis Sm.","3","3","<",NA,NA,2,3,7,2
"Orobanche hederae Duby","Orobanche hederae Duby","3","3","<",4,6,2,5,6,6
"Orobanche kochii F.W. Schultz","Orobanche kochii F.W.Schultz","kN","R","?",8,7,NA,4,8,3
"Orobanche lutea Baumg.","Orobanche lutea Baumg.","3","3","<",NA,6,NA,3,8,NA
"Orobanche lycoctoni Rhiner","Orobanche lycoctoni Rhiner","kN","D","?",NA,NA,NA,NA,NA,NA
"Orobanche minor Sm.","Orobanche minor Sm.","3","3","<",6,6,NA,5,7,5
"Orobanche picridis W.D.J. Koch","Orobanche picridis Koch","1","2","<",NA,NA,NA,NA,NA,NA
"Orobanche purpurea Jacq.","Orobanche purpurea Jacq.","3","3","<",7,7,5,4,7,2
"Orobanche ramosa L.","Orobanche ramosa L.","2","2","<",6,7,5,5,7,7
"Orobanche ramosa subsp. ramosa","Orobanche ramosa var. ramosa","2","2","<",NA,NA,NA,NA,NA,NA
"Orobanche rapum-genistae Thuill.","Orobanche rapum-genistae Thuill.","3","3","<",NA,6,1,5,3,2
"Orobanche rapum-genistae subsp. rapum-genistae","Orobanche rapum-genistae subsp. rapum-genistae","3","3","<",NA,NA,NA,NA,NA,NA
"Orobanche reticulata Wallr.","Orobanche reticulata Wallr.","3","3","<",7,5,4,4,8,2
"Orobanche rubi Duby","Orobanche rubi Duby","2","2","<",NA,NA,NA,NA,NA,NA
"Orobanche salviae W.D.J. Koch","Orobanche salviae Koch","2","2","<",NA,NA,NA,NA,NA,NA
"Orobanche teucrii Holandre","Orobanche teucrii Holandre","3","3","<",8,6,NA,2,8,2
"Orthilia secunda (L.) House","Orthilia secunda (L.) House","V","V","<",4,5,NA,5,5,3
"Orthilia secunda subsp. secunda","Orthilia secunda (L.) House","V","V","<",4,5,NA,5,5,3
"Osmunda regalis L.","Osmunda regalis L.","3","3","<<",5,6,2,8,4,5
"Oxalis acetosella L.","Oxalis acetosella L.","*","*","=",1,5,3,5,4,6
"Oxalis corniculata L.","Oxalis corniculata L.","*","*",">",7,7,NA,4,7,6
"Oxalis corniculata subsp. corniculata","Oxalis corniculata var. corniculata","*","*",">",7,7,NA,4,7,6
"Oxalis decaphylla Kunth","Oxalis decaphylla Kunth","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Oxalis dillenii Jacq.","Oxalis dillenii Jacq.","*","nb",NA,7,7,NA,5,6,6
"Oxalis stricta L.","Oxalis stricta L.","*","nb",NA,7,6,NA,5,7,7
"Oxybaphus nyctagineus (Michx.) Sweet","Oxybaphus nyctagineus (Michx.) Sweet","kN","nb",NA,8,8,NA,4,5,4
"Oxyria digyna (L.) Hill","Oxyria digyna (L.) Hill","*","*","=",8,2,NA,5,3,3
"Oxytropis montana (L.) DC.","Oxytropis montana (L.) DC.","*","*","=",NA,NA,NA,NA,NA,NA
"Oxytropis pilosa (L.) DC.","Oxytropis pilosa (L.) DC.","2","2","<",9,7,7,1,7,1
"Paeonia mascula (L.) Mill.","Paeonia mascula (L.) Mill.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Paeonia mascula subsp. mascula","Paeonia mascula subsp. mascula","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Paeonia officinalis L.","Paeonia officinalis L.","kN","nb",NA,NA,NA,NA,NA,NA,NA
