"submitted_name_rl","scientificname","rl1998","rl2018","trend","L","T","C","M","R","N"
"Festuca violacea agg.","Festuca violacea agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Filago germanica agg.","Filago germanica agg.","nb","3","<<",NA,NA,NA,NA,NA,NA
"Fumaria parviflora agg.","Fumaria parviflora agg.","nb","V","<",6,6,5,4,8,5
"Gagea pratensis agg.","Gagea pratensis agg.","V","*","=",7,6,5,4,8,6
"Galeobdolon luteum agg.","Galeobdolon luteum agg.","nb","*","=",3,5,NA,6,6,7
"Galeopsis ladanum agg.","Galeopsis ladanum agg.","nb","*","<",8,6,NA,3,6,3
"Galeopsis tetrahit agg.","Galeopsis tetrahit agg.","nb","*","=",6,5,NA,5,5,7
"Galium aparine agg.","Galium aparine agg.","nb","*","=",6,6,NA,5,6,8
"Galium mollugo agg.","Galium mollugo agg.","nb","*","=",7,6,NA,5,6,6
"Galium palustre agg.","Galium palustre agg.","nb","*","=",6,5,NA,9,5,6
"Galium pusillum agg.","Galium pusillum agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Galium sylvaticum agg.","Galium sylvaticum agg.","nb","*","=",5,5,NA,5,6,5
"Galium verum agg.","Galium verum agg.","nb","*","=",7,6,NA,4,6,3
"Gentianella amarella agg.","Gentianella amarella agg.","nb","1","<<",NA,NA,NA,NA,NA,NA
"Gentianella germanica agg.","Gentianella germanica agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Geranium robertianum agg.","Geranium robertianum agg.","nb","*","=",6,5,NA,6,6,7
"Glyceria fluitans agg.","Glyceria fluitans agg.","nb","*","=",6,5,NA,9,6,7
"Helosciadium nodiflorum agg.","Helosciadium nodiflorum agg.","nb","3","<",NA,NA,NA,NA,NA,NA
"Hierochloe odorata agg.","Hierochloe odorata agg.","nb","2","<<",NA,NA,NA,NA,NA,NA
"Hylotelephium telephium agg.","Hylotelephium telephium agg.","nb","*","=",7,6,NA,4,5,4
"Hypericum maculatum agg.","Hypericum maculatum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Hypopitys monotropa agg.","Hypopitys monotropa agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Juncus bufonius agg.","Juncus bufonius agg.","nb","*","=",8,5,NA,8,6,5
"Juncus compressus agg.","Juncus compressus agg.","nb","*","=",8,5,NA,8,7,5
"Juncus trifidus agg.","Juncus trifidus agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Knautia arvensis agg.","Knautia arvensis agg.","nb","*","=",7,6,NA,4,6,4
"Koeleria pyramidata agg.","Koeleria pyramidata agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Lamium hybridum agg.","Lamium hybridum agg.","nb","*","=",7,6,4,5,7,7
"Leucanthemum vulgare agg.","Leucanthemum vulgare agg.","nb","*","=",7,5,NA,5,6,5
"Linum perenne agg.","Linum perenne agg.","nb","3","<",NA,NA,NA,NA,NA,NA
"Lolium temulentum agg.","Lolium temulentum agg.","nb","0",NA,NA,NA,NA,NA,NA,NA
"Lotus corniculatus agg.","Lotus corniculatus agg.","nb","*","=",7,5,NA,4,7,4
"Luzula alpinopilosa agg.","Luzula alpinopilosa agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Luzula campestris agg.","Luzula campestris agg.","nb","*","<",7,5,NA,4,3,3
"Malus sylvestris agg.","Malus sylvestris agg.","nb","V","<",7,6,3,5,7,5
"Medicago sativa agg.","Medicago sativa agg.","nb","*","=",8,6,NA,4,7,4
"Melica ciliata agg.","Melica ciliata agg.","nb","V","<",8,7,NA,2,7,3
"Melica nutans agg.","Melica nutans agg.","nb","*","=",4,6,NA,5,6,4
"Mentha piperita agg.","Mentha piperita agg.","nb","D","?",NA,NA,NA,NA,NA,NA
"Mentha spicata agg.","Mentha spicata agg.","nb","*","=",7,6,NA,8,8,7
"Mentha verticillata agg.","Mentha verticillata agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Mercurialis perennis agg.","Mercurialis perennis agg.","nb","*","=",4,6,NA,5,7,7
"Minuartia verna agg.","Minuartia verna agg.","nb","*","=",8,5,NA,3,7,2
"Molinia caerulea agg.","Molinia caerulea agg.","nb","*","=",6,5,NA,7,5,3
"Montia fontana agg.","Montia fontana agg.","nb","V","<",8,4,NA,9,4,3
"Myosotis scorpioides agg.","Myosotis scorpioides agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Myosotis sylvatica agg.","Myosotis sylvatica agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Narcissus poeticus agg.","Narcissus poeticus agg.","nb","D","?",NA,NA,NA,NA,NA,NA
"Nasturtium officinale agg.","Nasturtium officinale agg.","nb","*","<",7,5,3,1,7,7
"Nigritella nigra agg.","Nigritella nigra agg.","nb","G","(<)",8,2,4,4,6,2
"Odontites vernus agg.","Odontites vernus agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Oenanthe aquatica agg.","Oenanthe aquatica agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Onobrychis viciifolia agg.","Onobrychis viciifolia agg.","nb","3","<",8,6,NA,4,8,4
"Ononis spinosa agg.","Ononis spinosa agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Ophrys sphegodes agg.","Ophrys sphegodes agg.","nb","2","<<",NA,NA,NA,NA,NA,NA
"Ornithogalum nutans agg.","Ornithogalum nutans agg.","nb","nb",NA,6,7,4,4,7,7
"Ornithogalum umbellatum agg.","Ornithogalum umbellatum agg.","nb","*","=",7,7,NA,3,7,5
"Orobanche alsatica agg.","Orobanche alsatica agg.","nb","2","<",NA,NA,NA,NA,NA,NA
"Phleum alpinum agg.","Phleum alpinum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Phleum pratense agg.","Phleum pratense agg.","nb","*","=",7,5,NA,5,6,7
"Phyteuma spicatum agg.","Phyteuma spicatum agg.","*","*","=",NA,NA,NA,NA,NA,NA
"Pimpinella saxifraga agg.","Pimpinella saxifraga agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Pinus mugo agg.","Pinus mugo agg.","nb","*","?",8,3,NA,7,3,2
"Plantago major agg.","Plantago major agg.","nb","*","=",7,5,NA,6,6,6
"Plantago maritima agg.","Plantago maritima agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Poa annua agg.","Poa annua agg.","nb","*","=",7,5,NA,6,6,8
"Poa pratensis agg.","Poa pratensis agg.","nb","*","=",6,5,NA,5,6,5
"Polycnemum arvense agg.","Polycnemum arvense agg.","nb","1","<<<",NA,NA,NA,NA,NA,NA
"Polygala amara agg.","Polygala amara agg.","nb","3","<",8,3,4,4,8,2
"Polygonum aviculare agg.","Polygonum aviculare agg.","*","*","=",7,6,NA,4,6,7
"Polypodium vulgare agg.","Polypodium vulgare agg.","nb","*","=",5,5,3,4,2,2
"Polystichum aculeatum agg.","Polystichum aculeatum agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Populus alba agg.","Populus alba agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Potamogeton pectinatus agg.","Potamogeton pectinatus agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Potamogeton pusillus agg.","Potamogeton pusillus agg.","nb","*","<",6,5,NA,12,8,6
"Potentilla collina agg.","Potentilla collina agg.","nb","3","=",NA,NA,NA,NA,NA,NA
"Potentilla verna agg.","Potentilla verna agg.","nb","V","<",8,6,NA,3,6,2
"Prunus spinosa agg.","Prunus spinosa agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Puccinellia distans agg.","Puccinellia distans agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Pulmonaria officinalis agg.","Pulmonaria officinalis agg.","nb","*","=",4,6,NA,5,7,6
"Pyrus communis agg.","Pyrus communis agg.","nb","*","=",6,6,5,5,8,5
"Ranunculus aquatilis agg.","Ranunculus aquatilis agg.","*","*","<",NA,NA,NA,NA,NA,NA
"Ranunculus rionii Lagger","Ranunculus rionii Lagger","*","3","<",NA,NA,NA,NA,NA,NA
"Ranunculus auricomus agg.","Ranunculus auricomus agg.","*","*","=",5,5,NA,6,6,6
"Ranunculus flammula agg.","Ranunculus flammula agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Ranunculus montanus agg.","Ranunculus montanus agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Ribes rubrum agg.","Ribes rubrum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Rorippa islandica agg.","Rorippa islandica agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Rosa caesia agg.","Rosa caesia agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Rosa dumalis agg.","Rosa dumalis agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Rosa elliptica agg.","Rosa elliptica agg.","nb","D","?",NA,NA,NA,NA,NA,NA
"Rosa rubiginosa agg.","Rosa rubiginosa agg.","nb","*","=",7,6,NA,3,8,4
"Rosa tomentella agg.","Rosa tomentella agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Rosa villosa agg.","Rosa villosa agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Rubus aggregatus Kaltenb.","Rubus aggregatus Kaltenb.","kN","D","?",NA,NA,NA,NA,NA,NA
"Rubus silvae-bavaricae Gaggermeier","Rubus silvae-bavaricae Gaggermeier","kN","D","?",NA,NA,NA,NA,NA,NA
"Ruppia maritima agg.","Ruppia maritima agg.","nb","3","<",NA,NA,NA,NA,NA,NA
"Sagina apetala agg.","Sagina apetala agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Salicornia europaea agg.","Salicornia europaea agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Salix fragilis agg.","Salix fragilis agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Salix myrsinites agg.","Salix myrsinites agg.","nb","1","<",NA,NA,NA,NA,NA,NA
"Salix repens agg.","Salix repens agg.","nb","*","=",7,5,NA,8,5,3
"Salix retusa agg.","Salix retusa agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Scabiosa columbaria agg.","Scabiosa columbaria agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Schoenoplectus lacustris agg.","Schoenoplectus lacustris agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Scleranthus annuus agg.","Scleranthus annuus agg.","nb","*","<",7,5,NA,5,4,5
"Sedum rupestre agg.","Sedum rupestre agg.","nb","*","=",8,6,NA,2,5,2
"Senecio aquaticus agg.","Senecio aquaticus agg.","nb","V","(<)",NA,NA,NA,NA,NA,NA
"Senecio nemorensis agg.","Senecio nemorensis agg.","nb","*","=",5,5,NA,5,5,6
"Setaria verticillata agg.","Setaria verticillata agg.","nb","*","=",8,7,NA,4,6,7
"Solanum sarrachoides agg.","Solanum sarrachoides agg.","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Solanum villosum agg.","Solanum villosum agg.","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Sorbus aria agg.","Sorbus aria agg.","*","*","<",6,5,2,4,7,3
"Sorbus hostii agg.","Sorbus hostii agg.","nb","R","=",NA,NA,NA,NA,NA,NA
"Sorbus hybrida agg.","Sorbus hybrida agg.","*","*","=",NA,NA,NA,NA,NA,NA
"Sorbus latifolia agg.","Sorbus latifolia agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Sorbus mougeotii agg.","Sorbus mougeotii agg.","nb","*","?",NA,NA,NA,NA,NA,NA
"Sorbus sudetica agg.","Sorbus sudetica agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Spartina townsendii agg.","Spartina townsendii agg.","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Spergula pentandra agg.","Spergula pentandra agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Spiraea salicifolia agg.","Spiraea salicifolia agg.","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Stellaria media agg.","Stellaria media agg.","nb","*","=",6,5,NA,5,6,8
"Stipa pennata agg.","Stipa pennata agg.","nb","3","<",9,7,NA,2,7,2
"Symphyotrichum laeve agg.","Symphyotrichum laeve agg.","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Symphyotrichum lanceolatum agg.","Symphyotrichum lanceolatum agg.","nb","nb",NA,NA,NA,NA,NA,NA,NA
